,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
68,"[[0], [3], [0, 3], [], [2, 2], [0, 1, 1, 1, 1], [0, 0, 0, 0]]",61.62823746585089,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.08992255385400416) * (x[2]),[0.08992255],60.937221768122775,"{'fitness 25': 64.20548014933244, 'fitness 53': 61.62823746585089, 'fitness 74': 59.56718052967135, 'fitness 102': 59.03900462536451}",False
69,"[[0], [3], [0], [2, 1, 0, 0], [0, 0, 3, 3, 0, 2], [1, 0, 0], [0]]",61.72755815443348,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.3687326851536811 * (x[1]**0.19777063372668213) * (x[2]),[0.36873269 0.19777063],61.047286821977046,"{'fitness 25': 64.27617280232714, 'fitness 53': 61.72755815443348, 'fitness 74': 59.70545720062965, 'fitness 102': 59.160230462974326}",False
70,"[[0], [3], [3, 3], [2, 1, 0, 0], [], [1], [0, 0, 0]]",62.08204674982621,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.03977176246972225 * (x[1]**0.4261238022588526) * (x[2]),[0.03977176 0.4261238 ],61.403339542546234,"{'fitness 25': 64.62340487518465, 'fitness 53': 62.08204674982621, 'fitness 74': 60.06369113866529, 'fitness 102': 59.52292261378876}",False
71,"[[0], [3], [2, 2], [2, 1], [2, 2], [1, 0, 0], []]",62.24739919958474,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.531390696809472 * (x[1]**0.0869434123042443) * (x[2]),[0.5313907  0.08694341],61.56453752301923,"{'fitness 25': 64.81248041554092, 'fitness 53': 62.24739919958474, 'fitness 74': 60.21746245418333, 'fitness 102': 59.663669699333475}",False
72,"[[0], [3], [], [], [], [1, 1, 1, 1, 1], []]",62.29509711420465,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.3344752897509764 * (x[1]**0.13497109743408509) * (x[2]),[0.33447529 0.1349711 ],61.612624963102256,"{'fitness 25': 64.85827955353214, 'fitness 53': 62.29509711420465, 'fitness 74': 60.26616421087269, 'fitness 102': 59.71343112490194}",False
73,"[[0], [3], [2], [2, 2], [0, 2], [1], [0, 0]]",62.4106426734474,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.2937937647112798 * (x[1]**0.12769830636938884) * (x[2]),[0.29379376 0.12769831],61.72788271043333,"{'fitness 25': 64.97591032202645, 'fitness 53': 62.4106426734474, 'fitness 74': 60.380757823813106, 'fitness 102': 59.82697998546042}",False
74,"[[0], [3], [0, 1], [2, 0], [0, 3], [1, 1, 0, 1], [0]]",62.49835196360829,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.05433620132821182 * (x[1]**0.311567487269667) * (x[2]),[0.0543362  0.31156749],61.816571730790336,"{'fitness 25': 65.05860377523062, 'fitness 53': 62.49835196360829, 'fitness 74': 60.471022049765516, 'fitness 102': 59.920089367374864}",False
75,"[[0], [3], [3, 3], [], [0, 0, 2, 1], [1, 1, 0, 0, 0], [0, 0, 0]]",62.53452000008242,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.5393087029462913 * (x[1]**0.022682901110436138) * (x[2]),[0.5393087 0.0226829],61.85087530501219,"{'fitness 25': 65.10513172022016, 'fitness 53': 62.53452000008242, 'fitness 74': 60.502026552931724, 'fitness 102': 59.94546764188468}",False
76,"[[0], [3], [3, 1], [1, 0], [2, 0, 1], [1, 1, 0, 0, 1], [0, 0, 0]]",62.67795738120573,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.0968482937808034 * (x[1]**0.18260605871941205) * (x[2]),[0.09684829 0.18260606],61.99490623195751,"{'fitness 25': 65.24600109257732, 'fitness 53': 62.67795738120573, 'fitness 74': 60.646899572393295, 'fitness 102': 60.0918180309019}",False
77,"[[0], [2], [0], [0, 0, 2, 1], [3, 2, 3], [1, 1, 1, 1, 1], []]",62.79188258283491,"[1, 1, 1, 2, 3, 4, 0]",5,(Constant/Constant*Constant/Constant**Constant) * (x[1]**Constant) * (x[2]),(0.056748595171958294/0.5124076331244887*0.5077212285761767/0.7107787367476756**0.770742671159502) * (x[1]**0.15522200844874623) * (x[2]),[0.0567486  0.51240763 0.50772123 0.71077874 0.77074267 0.15522201],62.10846360112728,"{'fitness 25': 65.3624397164811, 'fitness 53': 62.79188258283491, 'fitness 74': 60.75965671308542, 'fitness 102': 60.20329437381533}",False
78,"[[0], [3], [3, 0], [0, 0, 2, 1], [0, 0, 2, 0, 1], [1, 1, 1, 1, 1], [0]]",62.8016219965913,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.1892699459003787 * (x[1]**0.032211529402291994) * (x[2]),[0.18926995 0.03221153],62.117894608691664,"{'fitness 25': 65.37389377101971, 'fitness 53': 62.8016219965913, 'fitness 74': 60.768533338520065, 'fitness 102': 60.2112567165352}",False
